constructor_id,constructor_name,power_unit,base_strength_true,aero_coeff_true,pit_crew_skill_true
RED,Red Bull Racing,Red Bull Racing PU,1.0138738327259922,-0.031485994903645315,0.0178082884113778
MER,Mercedes-AMG Petronas,Mercedes-AMG Petronas PU,0.794139682724194,0.21572181595756415,0.014219139288355227
FER,Ferrari,Ferrari PU,1.2729121239692691,-0.24951813300034145,-0.15908629694176427
MCL,McLaren,McLaren PU,1.0291418079849286,0.12642316076182716,0.041119201275162
AST,Aston Martin,Aston Martin PU,1.4036680700843962,0.13252441457008368,0.018316520682324883
ALP,Alpine,Alpine PU,0.7522908307516761,-0.21069205961274773,0.11509942446990148
WIL,Williams,Williams PU,0.590797547217051,-0.06561750378816832,6.544776220315365e-05
HAA,Haas F1 Team,Haas F1 Team PU,1.6004109925575363,0.15640063838670243,0.21338092095599695
RBM,RB (Visa Cash App),RB (Visa Cash App) PU,1.2690143903778899,0.15501019473700525,-0.10030276647309004
SAU,Kick Sauber,Kick Sauber PU,0.9674908295609693,-0.04165001739292932,0.15775869510647
