driver_id,driver_name,rookie_season,style,ability_true,wet_skill_true,quali_skill_true,tire_deg_mgmt_true,risk_propensity_true
VER,Max Verstappen,2015,aggressive,0.5815516391800608,0.28518772927947983,0.03361923762460165,0.0019310150229048307,0.0
PER,Sergio Pérez,2011,aggressive,1.3295921891043165,0.060978402510011104,-0.1808597267246103,0.21276252265861062,0.18881438208076717
HAM,Lewis Hamilton,2007,aggressive,1.4790950629092845,-0.35509153808147276,-0.08123284533187829,0.16133742861170652,0.0
RUS,George Russell,2019,smooth,1.2535075007047867,0.01008489863896788,-0.09084537632421763,-0.16408874762830045,0.08149970122473546
LEC,Charles Leclerc,2018,balanced,0.8412260437123733,0.18519199651682525,0.017248233021476145,-0.2869598258172308,0.0
SAI,Carlos Sainz,2015,aggressive,0.02612937164949425,0.13911043310178747,0.06109489687582358,-0.026772706426230433,0.0
NOR,Lando Norris,2019,smooth,0.7028659690403458,0.011481360417800589,-0.18409120560714853,0.055518123237033756,0.0
PIA,Oscar Piastri,2023,aggressive,0.5711577183168095,-0.1978330750118941,-0.06621932993294682,-0.24549783727011018,0.03233580550706676
ALO,Fernando Alonso,2001,balanced,0.5576129249064944,-0.27897397853444506,-0.1149922907424535,0.15591640803940018,0.17031552148565648
STR,Lance Stroll,2017,aggressive,0.9376748969354409,-0.3614390079116442,-0.030743542154360703,0.0033471300858420234,0.1498462204935072
OCO,Esteban Ocon,2016,balanced,0.9109373130563881,0.18278715674689908,0.2923967776980073,-0.1314910267050806,0.0
GAS,Pierre Gasly,2017,balanced,1.0298730896236623,-0.09814754974559217,-0.17068017048283055,-0.2191280778079695,0.22140257473239738
ALB,Alexander Albon,2019,aggressive,0.9993964945352789,-0.11120449607108632,-0.2646654073060531,0.23745232579715242,0.0
TSU,Yuki Tsunoda,2021,balanced,0.9450271600490583,-0.2190223149975753,-0.03130117231855411,0.23005806581057306,0.03676805314011564
HUL,Nico Hülkenberg,2010,aggressive,0.9290819197806994,0.2951976845861041,-0.21169109028800615,0.20976405440757095,0.0
BOT,Valtteri Bottas,2013,balanced,0.9212333962538094,-0.18583083459684951,0.35242803753067603,0.17811227407344218,0.06482825776196363
MAG,Kevin Magnussen,2014,balanced,0.8238824827007831,0.0418329825426095,0.09130594598083876,-0.2018231249004106,0.06936891803975379
ZHO,Zhou Guanyu,2022,aggressive,1.0661642006057208,0.10896853448204635,0.24209164196723645,-0.13693484908449846,0.11272194275475289
SAR,Logan Sargeant,2023,smooth,1.2745056320031545,-0.15711371124639073,-0.10429564246182199,-0.08795254509225903,0.205326493605835
LAW,Liam Lawson,2023,balanced,1.0616037154230464,0.03235942194148195,0.16352192787477085,-0.030292058220484554,0.02828968263715026
DRI,Daniel Ricciardo,2011,balanced,0.7593550295146767,-0.05828125441238285,0.05994126802883686,0.1354280328783957,0.03096638798390955
RIC,Robert Kubica,2006,balanced,0.8609368740707168,0.0922938739469345,-0.012563323888816882,0.4612661099958799,0.0
DEV,Nyck de Vries,2022,aggressive,0.6838620112501761,-0.026980189807833645,0.23417268868794683,-0.01675379403405734,0.02490342409308735
MSC,Mick Schumacher,2021,balanced,1.4659535118005158,0.10162022881897004,0.1280600901283553,0.1656813486066202,0.021182734033386975
