season_id,constructor_id,constructor_name,team_strength,avg_pred_perf,starts
2018,MER,Mercedes-AMG Petronas,0.3711601183042421,0.8094561430098597,22
2018,RED,Red Bull Racing,0.36287384145002594,0.9276764627283354,22
2018,RBM,RB (Visa Cash App),0.346407786385889,0.7773078843562172,22
2018,HAA,Haas F1 Team,0.3169835696040886,0.8617119885935887,22
2018,SAU,Kick Sauber,0.29960026377838733,0.9353380330820836,22
2018,ALP,Alpine,0.2883454973536992,0.7644658684115792,22
2018,AST,Aston Martin,0.2654463086940727,0.8813793522024769,22
2018,FER,Ferrari,0.25453911357432035,0.6896835275301271,22
2018,MCL,McLaren,0.23591076055658355,0.6323664682752219,22
2018,WIL,Williams,0.10071612932774458,0.32543818200664326,20
2019,RBM,RB (Visa Cash App),0.603024366467505,0.6770730192720401,22
2019,MER,Mercedes-AMG Petronas,0.5111133571291687,0.9518818334019757,22
2019,RED,Red Bull Racing,0.4367726499022531,0.927973116295743,22
2019,MCL,McLaren,0.4224643871300175,0.8560032040650253,22
2019,FER,Ferrari,0.3911085168093054,0.9159285669896169,22
2019,HAA,Haas F1 Team,0.380599539682521,0.8910897058279531,22
2019,ALP,Alpine,0.34976672707657336,0.923468034387792,22
2019,AST,Aston Martin,0.29984444338429683,0.9037541700518048,22
2019,SAU,Kick Sauber,0.29480395568734136,0.969611787054634,22
2019,WIL,Williams,0.1442446075559198,0.2846440613476647,22
2020,RBM,RB (Visa Cash App),0.6338332067196184,0.47323595555259396,22
2020,RED,Red Bull Racing,0.5010708494359254,0.989228971061649,22
2020,MER,Mercedes-AMG Petronas,0.461403196415873,0.9712607342043974,22
2020,MCL,McLaren,0.34458532684435605,0.7333432627732431,22
2020,HAA,Haas F1 Team,0.3408624469028338,0.9302955474134961,22
2020,FER,Ferrari,0.3019263074945229,0.6985113545707627,22
2020,ALP,Alpine,0.2909630108714927,0.8810314020004004,21
2020,SAU,Kick Sauber,0.24868910527124422,1.0103358515516343,22
2020,AST,Aston Martin,0.19431476972513223,0.9098239368953633,22
2020,WIL,Williams,0.17870491248394382,0.26814994717162755,21
2021,RBM,RB (Visa Cash App),0.7977881686143531,0.6788529046177406,22
2021,RED,Red Bull Racing,0.5017580947181848,0.9671789485638487,22
2021,MER,Mercedes-AMG Petronas,0.41257607318549905,0.9638340346950436,22
2021,MCL,McLaren,0.34794958375569285,0.7070259016286391,22
2021,ALP,Alpine,0.26671566486459786,0.8769114741047995,22
2021,HAA,Haas F1 Team,0.24998143574294612,0.8678580580460398,22
2021,SAU,Kick Sauber,0.18594973282180524,0.995269880227008,22
2021,WIL,Williams,0.15381052603642698,0.3136591967929629,22
2021,FER,Ferrari,0.13989911038978162,0.5001448377457611,22
2021,AST,Aston Martin,0.04351939066224434,0.9888079446923399,22
2022,RBM,RB (Visa Cash App),0.9208750779183404,0.7545073081235277,22
2022,RED,Red Bull Racing,0.5092594017465063,1.0053419058706632,22
2022,MER,Mercedes-AMG Petronas,0.4074493198488944,0.9779934857188334,21
2022,MCL,McLaren,0.3217674194439755,0.7849053871353527,22
2022,ALP,Alpine,0.24888583157880062,0.9453960394600478,22
2022,WIL,Williams,0.21253426381371407,0.6072143985111124,20
2022,HAA,Haas F1 Team,0.17982478498206195,0.9040446901454139,22
2022,SAU,Kick Sauber,0.15167558246229115,0.9956002498342209,22
2022,FER,Ferrari,0.0310806633330878,0.49220140338471946,22
2022,AST,Aston Martin,-0.0448079265849981,0.9651075680249898,22
2023,RBM,RB (Visa Cash App),1.026469995274296,0.8700821672260634,13
2023,RED,Red Bull Racing,0.5283139895892052,0.9749857333121935,13
2023,MER,Mercedes-AMG Petronas,0.29779428758133075,0.8918663318240548,12
2023,ALP,Alpine,0.23722515124177435,0.9412193695185113,13
2023,MCL,McLaren,0.21984225113873543,0.845344742250223,13
2023,HAA,Haas F1 Team,0.17107376088990167,0.8760159402192318,13
2023,WIL,Williams,0.12082784665579786,0.6570036460976202,12
2023,SAU,Kick Sauber,0.09440386041780144,0.9070861022899509,13
2023,FER,Ferrari,0.012975951821033033,0.6342595689829847,13
2023,AST,Aston Martin,-0.16774870327620095,0.8717816652425125,13
