constructor_id,mean,hdi_3%,hdi_97%
ALP,0.24683206540018435,-0.5239628599335445,1.08675608506973
AST,0.10974841704661448,-0.9372444520304193,1.151950944187064
FER,0.0945649742813203,-0.8499031273207556,1.0702218188596655
HAA,0.18425588604748103,-0.643955623038113,1.068292281614581
MCL,0.1455686498476994,-0.8612045666873762,1.1073459654297544
MER,0.22367109029556748,-0.5177570456015204,0.9704637900756236
RBM,0.14085332361565395,-0.8083689183626139,1.078528240700412
RED,0.15706229930796656,-0.8006921556259452,1.0725931468430954
SAU,0.13295625532100175,-0.8692622337342161,1.1585544130587817
WIL,0.066836477560394,-0.9320019429647011,1.1154108101714868
